year,total_launches,successful,launch_failures,human_missions,total_crew_launched,booster_recoveries,avg_payload_kg,total_cost_million_usd,unique_rockets,rideshare_launches,success_rate_pct
1957,3,2,1,1,7,0,3329.33,538.0,3,0,66.7
1958,5,2,2,0,0,0,1643.8,754.0,4,0,40.0
1959,3,1,1,1,3,0,3259.67,263.4,3,0,33.3
1960,29,23,2,6,19,0,3300.93,4001.1,14,0,79.3
1961,16,12,2,2,13,0,3289.38,2755.5,9,0,75.0
1962,18,12,3,5,14,0,2915.33,2494.4,9,0,66.7
1963,24,14,4,6,19,0,2835.46,3305.1,11,0,58.3
1964,18,13,4,3,11,0,3094.83,2506.1,11,0,72.2
1965,47,41,4,8,29,0,3108.0,6540.8,16,0,87.2
1966,64,54,4,17,68,0,2869.92,8096.4,15,0,84.4
1967,59,56,2,12,34,0,3290.98,6705.5,14,0,94.9
1968,50,48,0,10,42,0,2877.08,6353.8,16,0,96.0
1969,51,44,3,13,40,0,2991.92,7062.3,16,0,86.3
1970,92,77,7,13,36,0,2817.04,11173.2,19,0,83.7
1971,90,79,6,7,21,0,2171.67,11376.5,20,0,87.8
1972,111,91,10,14,44,0,2588.8,13309.7,25,0,82.0
1973,97,88,5,10,31,0,2239.81,12346.2,19,0,90.7
1974,82,75,1,6,18,0,2870.49,10091.2,21,0,91.5
1975,95,87,3,12,44,0,2843.58,11871.1,22,0,91.6
1976,97,88,5,6,19,0,2229.59,13130.9,19,0,90.7
1977,91,84,6,9,39,0,2944.14,10058.8,18,0,92.3
1978,90,81,4,10,33,0,2871.79,10153.9,23,0,90.0
1979,93,85,5,16,52,0,3117.3,11639.4,20,0,91.4
1980,112,102,4,12,35,0,2321.51,12739.0,27,0,91.1
1981,113,103,5,11,45,0,2707.35,14543.3,28,0,91.2
1982,133,124,5,10,42,0,2481.67,17657.1,28,0,93.2
1983,125,108,6,15,54,0,2372.19,15888.8,25,0,86.4
1984,101,86,10,9,32,0,2612.83,12905.8,24,0,85.1
1985,91,88,1,10,37,0,2694.44,11101.2,26,0,96.7
1986,126,115,7,9,27,0,2388.44,16164.3,30,0,91.3
1987,117,111,3,10,36,0,2495.31,16109.0,28,0,94.9
1988,120,109,7,15,52,0,2382.72,16075.1,30,0,90.8
1989,108,101,5,8,25,0,2111.89,14112.9,26,0,93.5
1990,70,65,2,5,15,0,2943.44,8329.2,27,3,92.9
1991,85,81,4,7,23,0,2235.6,11052.8,30,4,95.3
1992,85,77,3,6,22,0,2895.22,10545.9,30,0,90.6
1993,84,77,4,8,33,0,2462.1,11295.5,29,2,91.7
1994,85,74,6,8,36,0,2456.11,11377.4,32,1,87.1
1995,87,83,2,13,46,0,2791.63,10965.0,32,5,95.4
1996,77,73,3,4,20,0,2416.68,9651.3,31,3,94.8
1997,79,79,0,8,25,0,2166.08,9408.6,35,2,100.0
1998,80,80,0,8,30,0,2816.98,9413.4,33,3,100.0
1999,73,73,0,4,15,0,2045.97,8776.7,26,0,100.0
2000,67,66,1,8,19,0,2928.18,8216.9,36,2,98.5
2001,63,61,1,4,10,0,2633.17,8389.7,31,1,96.8
2002,57,56,0,5,23,0,3008.51,7801.1,30,1,98.2
2003,61,60,1,6,22,0,2445.52,8106.5,25,2,98.4
2004,57,54,3,6,28,0,2794.96,7403.8,26,2,94.7
2005,72,71,1,2,9,0,2106.88,9305.9,31,1,98.6
2006,69,67,1,4,10,0,2644.14,8746.6,29,1,97.1
2007,68,67,0,4,16,0,2148.43,8675.6,31,1,98.5
2008,63,59,1,8,21,0,3080.0,8501.1,32,1,93.7
2009,79,77,0,11,39,0,2908.51,11262.1,31,1,97.5
2010,87,82,2,8,27,0,2341.1,10729.6,35,18,94.3
2011,105,104,1,7,26,0,1964.11,13337.1,40,20,99.0
2012,91,89,1,2,6,0,2127.62,11730.6,40,17,97.8
2013,86,85,1,4,13,0,2148.59,10722.2,34,18,98.8
2014,70,68,2,2,6,0,2081.76,8734.6,32,13,97.1
2015,103,98,3,6,22,9,2208.26,13702.5,38,16,95.1
2016,99,97,0,2,4,12,1957.4,12257.8,39,20,98.0
2017,101,97,3,5,11,11,2111.03,12518.1,37,18,96.0
2018,100,98,0,8,34,16,2439.73,13004.5,36,17,98.0
2019,113,110,0,6,21,22,2511.88,15565.9,39,25,97.3
2020,155,152,1,5,11,36,1856.6,19208.7,42,24,98.1
2021,130,126,1,14,46,24,1770.09,16656.8,39,27,96.9
2022,183,179,1,7,26,36,1948.01,24184.4,42,37,97.8
2023,199,193,3,14,42,62,2177.42,25446.4,40,36,97.0
2024,224,220,1,18,59,42,2115.25,29977.7,43,45,98.2
2025,255,251,1,26,89,55,2660.38,32492.7,41,39,98.4
2026,197,194,2,24,79,37,2423.01,25341.6,43,40,98.5
