country,total_launches,successes,human_missions,total_crew,unique_rockets,booster_recoveries,avg_cost_m,first_launch,latest_launch,success_rate_pct
United States,2403,2250,221,774,14,362,130.21,1957,2026,93.6
Soviet Union,1323,1185,170,589,4,0,124.45,1957,1989,89.6
Russia,874,844,68,227,6,0,126.36,1990,2026,96.6
China,872,840,65,230,10,0,126.79,1970,2026,96.3
Europe,345,334,25,79,5,0,135.34,1970,2026,96.8
Japan,150,142,13,36,4,0,123.59,1980,2026,94.7
India,108,102,9,30,3,0,126.05,1980,2026,94.4
Israel,33,33,2,7,5,0,125.14,1980,2026,100.0
New Zealand,31,30,4,15,5,0,124.64,1981,2026,96.8
Brazil,28,28,1,6,5,0,126.37,1981,2024,100.0
S.Korea,23,21,1,3,5,0,114.86,1981,2026,91.3
Iran,21,19,2,5,5,0,134.1,1983,2026,90.5
N.Korea,19,19,2,4,5,0,120.57,1982,2026,100.0
