rocket_name,total_launches,successes,failures,first_launch,last_launch,avg_payload_kg,total_crew_launched,booster_recoveries,avg_cost_m,success_rate_pct
Sputnik/R-7,384,349,21,1957,2025,488.52,142,0,123.07,90.9
Proton-K,379,344,26,1958,2026,3406.4,173,0,123.28,90.8
Vostok,347,308,33,1957,2026,2493.37,170,0,125.45,88.8
Soyuz-U,337,304,20,1958,2026,2917.02,137,0,126.78,90.2
Electron,202,189,9,1959,2026,294.44,41,53,8.0,93.6
Starship,186,177,7,1960,2026,2617.66,59,61,57.44,95.2
New Glenn,183,178,3,1960,2026,2699.05,62,50,126.96,97.3
Proton-M,183,179,3,1981,2026,2629.39,44,0,122.03,97.8
Atlas V,180,168,11,1961,2026,3155.62,54,0,259.26,93.3
Space Shuttle,179,166,10,1960,2026,2863.79,50,54,130.36,92.7
Saturn V,178,172,2,1960,2026,2915.49,31,0,185.0,96.6
Falcon Heavy,175,164,9,1963,2026,3243.38,76,60,118.88,93.7
Delta IV Heavy,171,159,8,1957,2026,3131.06,42,0,258.61,93.0
Neutron,170,157,11,1960,2026,2916.88,54,49,125.06,92.4
Vulcan Centaur,167,156,8,1960,2026,3305.99,97,0,125.66,93.4
Soyuz-FG,161,153,6,1990,2026,2241.35,36,0,126.59,95.0
Titan IV,161,153,7,1960,2026,3032.63,53,0,121.17,95.0
Angara-A5,160,154,5,1990,2026,2837.48,31,0,128.56,96.2
Falcon 9,158,147,5,1960,2026,2987.25,55,35,67.26,93.0
Titan II,147,138,8,1960,2026,1908.04,33,0,126.67,93.9
Delta II,146,126,15,1960,2026,2415.68,67,0,126.03,86.3
Soyuz-2.1a,141,134,6,1990,2026,2762.94,50,0,120.64,95.0
Soyuz-2.1b,135,132,3,1990,2026,2507.35,36,0,124.37,97.8
Angara-1.2,125,122,2,1990,2026,1885.97,37,0,136.35,97.6
Long March 2,104,100,4,1972,2026,2484.85,27,0,131.43,96.2
Long March 7,93,89,3,1971,2026,2586.16,14,0,127.13,95.7
Kuaizhou-1A,92,89,2,1973,2026,285.12,17,0,135.78,96.7
Zhuque-2,92,90,2,1970,2026,2361.18,36,0,117.23,97.8
Long March 6,91,84,4,1972,2026,848.2,25,0,121.47,92.3
Long March 3,83,82,1,1971,2026,2548.96,18,0,133.04,98.8
Long March 8,82,81,0,1971,2026,3123.28,35,0,129.5,98.8
Long March 4,80,76,3,1971,2026,1854.24,7,0,117.09,95.0
Vega-C,80,77,3,1972,2026,1597.05,9,0,126.93,96.2
Long March 9,79,77,0,1975,2026,2618.66,38,0,129.08,97.5
Long March 5,76,72,4,1972,2026,2638.87,13,0,125.11,94.7
Ariane 5,71,69,2,1972,2026,3654.94,20,0,169.76,97.2
Ariane 6,67,64,2,1974,2026,2452.66,14,0,125.03,95.5
Vega,66,66,0,1972,2026,1223.7,12,0,132.0,100.0
Ariane 4,61,58,2,1970,2026,2650.67,24,0,121.25,95.1
H-II,47,43,3,1985,2026,3423.26,24,0,134.4,91.5
GSLV,44,41,1,1980,2026,2984.2,15,0,121.3,93.2
H3,37,34,2,1980,2025,2932.92,8,0,115.17,91.9
LVM3,34,32,1,1985,2025,3610.35,7,0,128.75,94.1
Epsilon,33,33,0,1981,2026,546.91,2,0,124.48,100.0
H-IIA,33,32,1,1980,2026,2605.21,2,0,116.75,97.0
PSLV,30,29,1,1982,2026,1846.67,8,0,129.96,96.7
