mission_id,launch_date,year,decade,country,rocket_name,rocket_operator,rocket_height_m,rocket_payload_leo_kg,rocket_reusable,rocket_status,launch_site,launch_site_country,launch_site_lat,launch_site_lon,mission_type,orbit_type,destination,payload_mass_kg,num_payloads,launch_mass_tonnes,apoapsis_km,periapsis_km,inclination_deg,outcome,mission_duration_days,crew_size,booster_recovered,estimated_cost_million_usd
M000001,1957-07-26,1957,1950s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,500,1,27.1,405.0,264.0,33.2,Success,,0,0,172.7
M000002,1957-02-20,1957,1950s,United States,Delta IV Heavy,ULA,72,28790,0,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Military/Reconnaissance,SSO,SSO,4758,1,232.7,613.0,605.0,98.0,Success,,0,0,258.9
M000003,1957-03-09,1957,1950s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,ISS Docking,ISS,4730,1,188.1,377.0,270.0,51.6,Launch Failure,180.0,7,0,106.4
M000004,1958-04-10,1958,1950s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,784,1,44.6,546.0,445.0,74.4,Mission Failure,,0,0,107.9
M000005,1958-08-21,1958,1950s,Soviet Union,Soyuz-U,TsSKB-Progress,46,7080,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,2712,1,124.8,627.0,461.0,93.3,Launch Failure,,0,0,196.2
M000006,1958-10-10,1958,1950s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,500,1,16.4,647.0,632.0,97.4,Success,,0,0,184.9
M000007,1958-05-28,1958,1950s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Military/Reconnaissance,LEO,LEO,1111,1,39.7,463.0,441.0,81.1,Launch Failure,,0,0,117.6
M000008,1958-01-11,1958,1950s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Science/Astronomy,LEO,LEO,3112,1,167.9,541.0,481.0,81.1,Success,,0,0,147.4
M000009,1959-11-24,1959,1950s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,Lunar Transfer,Moon Surface,4730,1,280.0,,,18.4,Mission Failure,90.0,3,0,73.8
M000010,1959-03-31,1959,1950s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,4749,1,131.4,540.0,504.0,53.3,Success,,0,0,182.1
M000011,1959-04-17,1959,1950s,United States,Electron,Rocket Lab,18,300,1,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Weather/Meteorology,LEO,LEO,300,1,15.1,564.0,241.0,49.1,Launch Failure,,0,0,7.5
M000012,1960-08-18,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,9223,1,544.2,578.0,560.0,98.4,Success,,0,0,164.7
M000013,1960-08-17,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,LEO,LEO,500,1,24.4,557.0,476.0,64.3,Success,,0,0,134.7
M000014,1960-02-11,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,L2 Halo,500,3,24.6,486.0,213.0,49.8,Success,,0,0,137.9
M000015,1960-08-15,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Technology Demo,LEO,LEO,500,1,14.0,439.0,376.0,31.8,Success,,0,0,127.1
M000016,1960-10-01,1960,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Human Spaceflight,Lunar Transfer,Lunar Orbit,4730,1,192.5,,,10.1,Success,90.0,1,0,80.4
M000017,1960-04-30,1960,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-40,USA,28.56,-80.58,Human Spaceflight,Lunar Transfer,Moon Surface,6540,1,202.5,,,45.5,Launch Failure,90.0,4,0,99.1
M000018,1960-12-29,1960,1960s,United States,Neutron,Rocket Lab,40,13000,1,Active,Blue Origin Launch Site One,USA,31.42,-104.76,Military/Reconnaissance,SSO,SSO,2261,1,126.6,730.0,729.0,97.2,Success,,0,0,123.4
M000019,1960-07-29,1960,1960s,United States,Titan IV,USAF,62,21680,0,Retired,Blue Origin Launch Site One,USA,31.42,-104.76,Science/Astronomy,LEO,L2 Halo,5946,1,184.1,371.0,245.0,83.9,Success,,0,0,101.9
M000020,1960-07-29,1960,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,SpaceX Starbase,USA,25.99,-97.16,Science/Astronomy,LEO,Earth Orbit,1224,1,66.4,529.0,248.0,44.7,Success,,0,0,193.4
M000021,1960-06-27,1960,1960s,Soviet Union,Sputnik/R-7,OKB-1,28,500,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Science/Astronomy,LEO,Earth Orbit,500,1,18.4,473.0,394.0,82.4,Mission Failure,,0,0,196.7
M000022,1960-10-22,1960,1960s,United States,Vulcan Centaur,ULA,61,27200,0,Active,Cape Canaveral LC-41,USA,28.58,-80.58,Military/Reconnaissance,SSO,SSO,9179,1,316.1,568.0,560.0,98.4,Success,,0,0,161.0
M000023,1960-11-17,1960,1960s,United States,Saturn V,NASA,111,140000,0,Retired,Vandenberg SLC-4,USA,34.74,-120.57,Military/Reconnaissance,SSO,SSO,1066,1,30.4,455.0,442.0,98.4,Success,,0,0,185.0
M000024,1960-06-04,1960,1960s,Soviet Union,Proton-K,Khrunichev,57,20700,0,Retired,Baikonur LC-1,Kazakhstan,45.92,63.34,Military/Reconnaissance,SSO,SSO,469,1,21.3,659.0,651.0,99.0,Success,,0,0,191.4
M000025,1960-04-23,1960,1960s,United States,Space Shuttle,NASA,56,27500,1,Retired,Cape Canaveral LC-39A,USA,28.61,-80.6,Technology Demo,LEO,LEO,1812,1,94.0,599.0,457.0,57.4,Success,,0,0,121.9
M000026,1960-03-15,1960,1960s,Soviet Union,Vostok,OKB-1,38,4730,0,Retired,Baikonur LC-31,Kazakhstan,45.99,63.56,Technology Demo,LEO,LEO,681,1,29.7,624.0,236.0,32.4,Success,,0,0,182.0
