event_id,date,year,month,day_of_year,season,region_id,region_name,country,continent,latitude,longitude,climate_zone,vegetation_type,fire_radiative_power_mw,burn_area_hectares,burn_area_km2,severity,fire_duration_days,contained,human_caused,detection_satellite,detection_confidence,co2_emissions_tonnes,pm25_emissions_tonnes,pm10_emissions_tonnes,co_emissions_tonnes,ch4_emissions_tonnes,air_temp_celsius,relative_humidity_pct,wind_speed_kmh,wind_direction,drought_index,structures_threatened,structures_destroyed,evacuation_orders,people_evacuated,enso_phase,climate_anomaly_year
WF0000001,2001-02-01,2001,2,32,Summer,aus_nsw,New South Wales,Australia,Oceania,-35.953,145.0103,Mediterranean/Temperate,Eucalyptus Forest,9994.4,10374.0,103.74,Extreme,18,1,1,VIIRS NOAA-20,High,3810.3,234.98,569.44,202.17,25.99,25.8,24.3,18.0,NW,0.816,12,3,1,13,0.0,0
WF0000002,2001-02-13,2001,2,44,Summer,aus_nsw,New South Wales,Australia,Oceania,-28.8714,148.7342,Mediterranean/Temperate,Eucalyptus Forest,820.1,3813.4,38.13,High,1,1,0,MODIS Aqua,High,1253.2,75.52,169.33,169.75,7.852,24.2,34.3,5.1,SE,0.522,1,0,0,0,0.0,0
WF0000003,2001-12-18,2001,12,352,Summer,aus_nsw,New South Wales,Australia,Oceania,-33.5434,149.2788,Mediterranean/Temperate,Eucalyptus Forest,1990.8,117380.4,1173.8,Extreme,20,0,0,MODIS Terra,High,39963.3,2211.32,4386.96,5037.17,462.378,21.1,13.6,55.1,NW,0.715,11,3,1,165,0.0,0
WF0000004,2001-11-22,2001,11,326,Autumn,aus_nsw,New South Wales,Australia,Oceania,-31.2912,143.2097,Mediterranean/Temperate,Eucalyptus Forest,893.0,45618.8,456.19,High,17,1,0,Sentinel-3,High,22117.9,733.97,1543.58,1852.49,250.274,35.2,5.3,26.3,SW,0.461,0,0,0,0,0.0,0
WF0000005,2001-12-01,2001,12,335,Summer,aus_nsw,New South Wales,Australia,Oceania,-31.3976,148.3285,Mediterranean/Temperate,Eucalyptus Forest,7006.6,41320.8,413.21,Extreme,21,1,0,Sentinel-3,Nominal,20959.4,489.7,930.0,1372.59,398.608,37.4,25.9,37.0,SW,0.609,1,0,1,157,0.0,0
WF0000006,2001-12-18,2001,12,352,Summer,aus_nsw,New South Wales,Australia,Oceania,-36.6298,149.0004,Mediterranean/Temperate,Eucalyptus Forest,348.1,7780.2,77.8,Moderate,1,1,0,MODIS Terra,Low,3725.9,149.22,255.77,532.42,28.225,25.6,15.7,11.8,S,0.789,0,0,0,0,0.0,0
WF0000007,2001-02-14,2001,2,45,Summer,aus_nsw,New South Wales,Australia,Oceania,-30.109,147.1221,Mediterranean/Temperate,Eucalyptus Forest,692.1,2317.6,23.18,Moderate,1,0,1,Landsat 8/9,High,1187.3,75.52,137.83,161.49,8.529,41.8,21.4,23.9,NE,0.55,0,0,0,0,0.0,0
WF0000008,2001-11-19,2001,11,323,Autumn,aus_nsw,New South Wales,Australia,Oceania,-35.471,145.6113,Mediterranean/Temperate,Eucalyptus Forest,621.5,38286.1,382.86,High,7,0,0,Sentinel-3,High,12644.4,336.84,513.58,1839.97,154.854,21.7,11.0,16.8,SW,0.876,26,1,0,0,0.0,0
WF0000009,2001-01-09,2001,1,9,Summer,aus_vic,Victoria,Australia,Oceania,-37.5888,142.0557,Temperate,Eucalyptus Forest,794.2,3150.8,31.51,Moderate,2,1,1,VIIRS NOAA-20,High,1549.4,100.52,218.3,114.54,11.589,29.0,27.0,35.9,S,0.618,0,0,0,0,0.0,0
WF0000010,2001-12-09,2001,12,343,Summer,aus_vic,Victoria,Australia,Oceania,-37.73,143.3889,Temperate,Eucalyptus Forest,940.1,178043.6,1780.44,Extreme,9,1,1,MODIS Aqua,Nominal,79053.8,5771.18,8881.32,10392.58,1204.959,34.1,25.8,47.6,W,0.442,6,1,1,4443,0.0,0
WF0000011,2001-12-05,2001,12,339,Summer,aus_vic,Victoria,Australia,Oceania,-37.9722,143.0859,Temperate,Eucalyptus Forest,2475.3,31223.3,312.23,Extreme,3,1,1,MODIS Terra,High,12678.2,566.87,1111.29,1610.45,184.353,30.3,22.0,13.2,N,0.449,2,0,1,69,0.0,0
WF0000012,2001-12-18,2001,12,352,Summer,aus_vic,Victoria,Australia,Oceania,-38.6646,144.5058,Temperate,Eucalyptus Forest,896.0,50214.8,502.15,Extreme,6,1,0,VIIRS S-NPP,Nominal,14710.9,784.45,1223.4,1757.78,119.4,30.8,5.5,54.8,E,0.266,6,1,1,2146,0.0,0
WF0000013,2001-01-07,2001,1,7,Summer,aus_vic,Victoria,Australia,Oceania,-34.4168,143.0017,Temperate,Eucalyptus Forest,361.6,840.9,8.41,Moderate,12,0,0,VIIRS NOAA-20,High,342.1,8.66,14.67,39.94,6.295,26.9,17.4,43.6,NW,0.297,0,0,0,0,0.0,0
WF0000014,2001-01-15,2001,1,15,Summer,aus_vic,Victoria,Australia,Oceania,-35.5273,141.8068,Temperate,Eucalyptus Forest,623.4,353679.6,3536.8,Extreme,3,1,1,MODIS Aqua,High,154654.4,6249.3,10311.09,8081.36,2600.828,31.6,11.4,46.5,E,0.489,13,2,1,2386,0.0,0
WF0000015,2001-11-23,2001,11,327,Autumn,aus_qld,Queensland,Australia,Oceania,-27.9871,138.5232,Tropical/Subtropical,Savanna,114.8,1163.2,11.63,Moderate,1,1,1,MODIS Aqua,High,212.1,15.61,36.25,23.11,1.717,34.7,6.5,55.2,N,0.321,0,0,0,0,0.0,0
WF0000016,2001-11-13,2001,11,317,Autumn,aus_qld,Queensland,Australia,Oceania,-18.3623,146.2237,Tropical/Subtropical,Savanna,1002.7,12877.9,128.78,High,21,0,0,MODIS Aqua,Nominal,2341.8,94.0,232.94,213.11,36.756,23.7,7.3,51.8,S,0.49,7,0,0,0,0.0,0
WF0000017,2001-09-04,2001,9,247,Autumn,aus_qld,Queensland,Australia,Oceania,-23.8726,141.1585,Tropical/Subtropical,Savanna,585.2,16451.1,164.51,High,1,1,1,VIIRS NOAA-20,High,3500.1,72.95,167.68,382.41,49.222,21.2,32.7,58.5,SE,0.56,0,0,0,0,0.0,0
WF0000018,2001-11-16,2001,11,320,Autumn,aus_qld,Queensland,Australia,Oceania,-20.2374,144.2926,Tropical/Subtropical,Savanna,917.7,39785.3,397.85,High,12,1,1,Sentinel-3,High,9935.5,259.58,525.67,904.76,144.591,23.2,34.2,32.0,W,0.53,11,2,0,0,0.0,0
WF0000019,2001-09-25,2001,9,268,Autumn,aus_qld,Queensland,Australia,Oceania,-18.8218,143.8007,Tropical/Subtropical,Savanna,84.0,382.8,3.83,Low,98,0,0,VIIRS NOAA-20,High,72.1,3.26,5.23,6.03,0.76,26.7,28.6,14.9,SW,0.237,0,0,0,0,0.0,0
WF0000020,2001-02-24,2001,2,55,Summer,aus_wa,Western Australia,Australia,Oceania,-29.2004,126.1649,Arid/Mediterranean,Shrubland,55.8,388.3,3.88,Low,9,1,0,Landsat 8/9,High,90.3,2.28,4.15,11.94,1.801,44.5,10.9,18.1,SE,0.501,0,0,0,0,0.0,0
WF0000021,2001-02-10,2001,2,41,Summer,aus_wa,Western Australia,Australia,Oceania,-26.0901,122.0711,Arid/Mediterranean,Shrubland,691.8,95570.4,955.7,Extreme,2,0,0,VIIRS S-NPP,Nominal,28686.6,1851.09,3920.83,2625.82,264.92,22.1,17.6,31.1,S,0.815,0,0,1,3081,0.0,0
WF0000022,2001-03-20,2001,3,79,Spring,aus_wa,Western Australia,Australia,Oceania,-28.6832,123.5001,Arid/Mediterranean,Shrubland,455.4,27913.1,279.13,High,4,1,0,VIIRS S-NPP,Nominal,7341.1,170.49,334.87,1027.26,131.324,26.0,30.7,24.9,NW,0.828,9,2,0,0,0.0,0
WF0000023,2001-03-16,2001,3,75,Spring,aus_wa,Western Australia,Australia,Oceania,-27.789,119.3467,Arid/Mediterranean,Shrubland,509.7,40282.7,402.83,High,10,0,0,MODIS Aqua,Nominal,11077.8,469.86,931.91,984.69,102.582,32.4,14.2,28.6,S,0.26,0,0,0,0,0.0,0
WF0000024,2001-12-22,2001,12,356,Summer,aus_wa,Western Australia,Australia,Oceania,-27.7576,121.9068,Arid/Mediterranean,Shrubland,2296.1,3630.1,36.3,Extreme,6,1,1,VIIRS S-NPP,High,1128.1,28.56,63.71,146.97,19.372,43.0,32.6,26.6,E,0.383,54,16,1,7432,0.0,0
WF0000025,2001-01-11,2001,1,11,Summer,aus_wa,Western Australia,Australia,Oceania,-26.2777,123.5024,Arid/Mediterranean,Shrubland,83.7,1492.7,14.93,Moderate,1,0,1,VIIRS S-NPP,High,539.5,41.48,102.7,75.94,4.424,35.4,20.1,58.0,SW,0.264,0,0,0,0,0.0,0
WF0000026,2001-02-08,2001,2,39,Summer,aus_wa,Western Australia,Australia,Oceania,-24.5165,123.5469,Arid/Mediterranean,Shrubland,208.4,42805.6,428.06,High,3,1,0,VIIRS NOAA-20,Low,12020.3,781.5,1481.51,1360.51,147.185,29.6,32.0,53.7,W,0.623,0,0,0,0,0.0,0
WF0000027,2001-01-13,2001,1,13,Summer,aus_wa,Western Australia,Australia,Oceania,-28.5986,118.7317,Arid/Mediterranean,Shrubland,122.7,1921.0,19.21,Moderate,9,1,0,VIIRS S-NPP,High,730.8,39.49,64.51,104.25,5.562,25.3,27.4,31.4,S,0.501,0,0,0,0,0.0,0
WF0000028,2001-02-15,2001,2,46,Summer,aus_wa,Western Australia,Australia,Oceania,-29.9799,121.159,Arid/Mediterranean,Shrubland,72.2,72.8,0.73,Low,2,0,0,MODIS Terra,Nominal,19.2,0.85,1.48,1.87,0.123,36.2,16.6,11.4,SE,0.275,0,0,0,0,0.0,0
WF0000029,2001-03-22,2001,3,81,Spring,aus_wa,Western Australia,Australia,Oceania,-26.6367,121.4102,Arid/Mediterranean,Shrubland,1379.7,32455.2,324.55,High,36,0,0,VIIRS S-NPP,High,10453.9,592.53,1423.28,659.56,60.8,33.6,10.5,42.6,SE,0.289,1,0,0,0,0.0,0
WF0000030,2001-02-24,2001,2,55,Summer,aus_wa,Western Australia,Australia,Oceania,-23.9569,122.8753,Arid/Mediterranean,Shrubland,833.9,4623.2,46.23,High,1,1,1,Sentinel-3,High,1453.3,94.8,205.52,163.74,18.388,34.3,24.2,10.2,NW,0.72,136,27,1,124,0.0,0
WF0000031,2001-02-08,2001,2,39,Summer,aus_wa,Western Australia,Australia,Oceania,-25.6042,120.1984,Arid/Mediterranean,Shrubland,2711.8,130842.9,1308.43,Extreme,4,1,0,Sentinel-3,Nominal,45506.5,1791.36,3522.2,2875.69,248.354,28.0,25.0,28.1,W,0.709,0,0,1,16164,0.0,0
WF0000032,2001-07-17,2001,7,198,Summer,ca_bc,British Columbia,Canada,North America,51.4222,-125.9585,Temperate,Boreal Forest,427.3,68749.0,687.49,Extreme,3,1,1,Sentinel-3,High,38750.8,2604.12,5423.88,4089.45,645.374,30.3,21.9,43.2,W,0.52,6,1,1,185,0.0,0
