record_id,year,country,region,income_group,population_million,healthcare_index,pathogen,pathogen_type,gram_status,who_priority,natural_reservoir,setting,specimen_type,isolates_tested,resistant_isolates,susceptible_isolates,resistance_rate,mdr,xdr,pan_resistant,antibiotic_use_ddd,incidence_per_100k,mortality_per_100k,amr_attributable_mortality_per_100k,treatment_options_remaining,economic_burden_per_patient_usd,surveillance_quality_score,one_health_link
AMR0000001,2010,United States,North America,High,335,85,Escherichia coli (ESBL),Bacteria,Gram-negative,Critical,Human/Animal gut,Community,Sputum,323,69,254,0.2149,1,1,0,16.57,7.8,2.203,0.198,6,58353,4,1
AMR0000002,2010,United States,North America,High,335,85,Klebsiella pneumoniae (CRE),Bacteria,Gram-negative,Critical,Human gut/environment,Hospital-non-ICU,Genital,338,76,262,0.2253,0,0,0,22.8,10.88,2.24,0.2102,5,13098,4,0
AMR0000003,2010,United States,North America,High,335,85,Acinetobacter baumannii,Bacteria,Gram-negative,Critical,Environment/Hospitals,Veterinary,Blood,131,24,107,0.1904,1,0,0,18.07,6.1,1.924,0.1406,3,28750,4,0
AMR0000004,2010,United States,North America,High,335,85,Pseudomonas aeruginosa,Bacteria,Gram-negative,Critical,Environment/Hospitals,Veterinary,Wound/Skin,671,157,514,0.234,0,0,0,23.29,12.81,3.856,0.2649,2,111736,3,0
AMR0000005,2010,United States,North America,High,335,85,Enterococcus faecium (VRE),Bacteria,Gram-positive,High,Human gut,Community,Urine,206,33,173,0.1608,0,0,0,24.03,20.39,3.579,0.2186,8,13598,4,0
AMR0000006,2010,United States,North America,High,335,85,Staphylococcus aureus (MRSA),Bacteria,Gram-positive,High,Human skin/nose,Community,Catheter tip,225,55,170,0.2468,0,0,0,18.15,13.3,1.589,0.1278,4,30217,4,0
AMR0000007,2010,United States,North America,High,335,85,Streptococcus pneumoniae,Bacteria,Gram-positive,High,Human respiratory,Veterinary,Wound/Skin,583,99,484,0.1709,0,0,0,23.08,23.12,2.674,0.1886,3,16179,4,0
AMR0000008,2010,United States,North America,High,335,85,Helicobacter pylori,Bacteria,Gram-negative,High,Human stomach,Community,Catheter tip,131,28,103,0.2176,1,0,0,22.64,20.08,3.75,0.2667,4,51346,4,0
AMR0000009,2010,United States,North America,High,335,85,Salmonella spp. (NTS),Bacteria,Gram-negative,High,Animal/Human gut,Community,Catheter tip,461,92,369,0.1999,1,0,0,22.37,20.81,4.088,0.2417,10,35059,4,1
AMR0000010,2010,United States,North America,High,335,85,Neisseria gonorrhoeae,Bacteria,Gram-negative,High,Human urogenital,Hospital-non-ICU,Stool/Rectal,82,17,65,0.2081,1,0,0,15.87,13.65,2.643,0.2113,1,38052,3,0
AMR0000011,2010,United States,North America,High,335,85,Mycobacterium tuberculosis,Bacteria,AFB,Critical,Human lung,Community,Blood,134,41,93,0.3069,0,0,0,18.03,7.91,1.875,0.1632,3,80787,2,0
AMR0000012,2010,United States,North America,High,335,85,Clostridioides difficile,Bacteria,Gram-positive,Medium,Human gut/spores,Hospital-ICU,Bone/Joint,241,32,209,0.133,0,1,0,19.87,16.64,1.474,0.0556,5,20372,3,0
AMR0000013,2010,United States,North America,High,335,85,Campylobacter spp.,Bacteria,Gram-negative,High,Animal gut/poultry,Hospital-non-ICU,Blood,979,196,783,0.2009,0,0,0,24.91,34.59,3.991,0.2456,5,30416,3,1
AMR0000014,2010,United States,North America,High,335,85,Shigella spp.,Bacteria,Gram-negative,Medium,Human gut,Hospital-ICU,Blood,410,56,354,0.1389,0,0,0,24.55,52.11,4.733,0.2431,6,52625,3,0
AMR0000015,2010,United States,North America,High,335,85,Haemophilus influenzae,Bacteria,Gram-negative,Medium,Human respiratory,Hospital-ICU,Respiratory,32,3,29,0.1099,0,0,0,21.48,33.29,3.018,0.1224,2,27310,4,0
AMR0000016,2010,United States,North America,High,335,85,Candida auris,Fungi,N/A,Critical,Environment/Hospitals,Veterinary,Sputum,53,15,38,0.2841,1,0,0,25.14,8.43,2.597,0.2144,2,26895,4,0
AMR0000017,2010,United States,North America,High,335,85,Aspergillus fumigatus,Fungi,N/A,High,Environment/Soil,Long-term Care,Urine,56,12,44,0.2166,0,0,0,18.07,33.75,3.742,0.2309,4,50985,4,1
AMR0000018,2010,United States,North America,High,335,85,Plasmodium falciparum,Parasite,N/A,Critical,Anopheles mosquito,Veterinary,Genital,341,67,274,0.199,1,1,0,17.65,5.17,1.326,0.097,10,72938,3,0
AMR0000019,2010,United States,North America,High,335,85,Plasmodium vivax,Parasite,N/A,High,Anopheles mosquito,Veterinary,Blood,207,45,162,0.2215,0,0,0,15.44,14.25,2.437,0.2041,5,22323,5,0
AMR0000020,2010,United States,North America,High,335,85,HIV-1 (ARV-resistant),Virus,N/A,High,Human blood/sexual,Long-term Care,Wound/Skin,140,19,121,0.1415,1,0,0,15.62,12.44,1.54,0.0613,5,17934,2,0
AMR0000021,2010,United States,North America,High,335,85,Influenza A (Oseltamivir-R),Virus,N/A,Medium,Human/Animal resp.,Hospital-ICU,CSF,154,15,139,0.1024,1,0,0,27.44,26.16,1.739,0.0704,7,14352,3,0
