year,avg_resistance_rate,total_isolates,mdr_rate,xdr_rate,pan_resistant_rate,avg_incidence,avg_mortality,avg_amr_mortality,avg_antibiotic_use,avg_treatment_options,avg_economic_burden
2010,0.3142,234011,0.5304,0.1304,0.0008,44.7957,10.2486,1.4848,27.4192,3.4632,15619.9352
2011,0.3177,207016,0.5296,0.1344,0.0016,44.5327,10.0161,1.4894,27.2339,3.4272,15606.0912
2012,0.3256,218173,0.5344,0.1424,0.0016,44.2606,10.067,1.4948,27.4631,3.3872,15687.6776
2013,0.3307,226341,0.5712,0.1448,0.0008,44.342,9.9444,1.5237,27.6736,3.2872,15834.0592
2014,0.3376,222124,0.5728,0.1512,0.0,44.1548,9.7362,1.4942,27.5914,3.3192,15731.9744
2015,0.3414,222524,0.5904,0.1584,0.0008,44.9068,9.9819,1.5687,27.6239,3.3032,16096.7912
2016,0.344,229815,0.6072,0.1432,0.0016,44.1135,10.0382,1.5678,27.9496,3.3216,15536.4264
2017,0.3514,223551,0.612,0.1592,0.0,44.6423,9.8561,1.5768,28.0982,3.2048,16135.3096
2018,0.3574,231006,0.6256,0.1584,0.004,43.4772,9.8745,1.6176,27.9882,3.1736,15094.5712
2019,0.3614,223381,0.6096,0.176,0.0016,44.9742,9.9215,1.637,28.547,3.1976,16070.9144
2020,0.3664,225567,0.6424,0.1736,0.0016,44.949,9.9896,1.6838,28.5965,3.2104,15632.4576
2021,0.3761,226496,0.6544,0.1904,0.0024,44.602,10.0616,1.7488,28.6005,3.1304,15832.0288
2022,0.3803,220918,0.6552,0.188,0.0024,44.3456,9.8968,1.7069,28.5912,3.0536,15761.5256
2023,0.3851,219577,0.652,0.1976,0.0,43.5407,9.8624,1.7395,29.0129,2.9912,15769.4264
2024,0.3903,230354,0.6544,0.2168,0.0048,43.2982,9.7082,1.7388,29.1451,3.0208,15908.1088
2025,0.3946,233452,0.6816,0.216,0.0064,43.2862,9.6273,1.7301,29.0489,3.0712,15816.9496
