year,income_group,avg_ddd,avg_resistance,avg_treatment_options
2010,High,20.1414,0.1844,4.2447
2010,Low,18.1478,0.465,2.6171
2010,Lower-Middle,39.146,0.4112,2.952
2010,Upper-Middle,28.5758,0.2865,3.4909
2011,High,20.6224,0.1843,4.0494
2011,Low,17.4761,0.4883,2.68
2011,Lower-Middle,38.6671,0.4119,2.968
2011,Upper-Middle,28.0702,0.2867,3.5673
2012,High,19.9913,0.1919,4.1718
2012,Low,18.3612,0.4879,2.6
2012,Lower-Middle,39.2943,0.4224,2.816
2012,Upper-Middle,28.6693,0.2972,3.4545
2013,High,20.3773,0.1933,4.0588
2013,Low,18.1319,0.4993,2.4057
2013,Lower-Middle,39.4524,0.4314,2.7707
2013,Upper-Middle,28.9597,0.2985,3.36
2014,High,20.3038,0.197,3.9224
2014,Low,18.4095,0.5067,2.5371
2014,Lower-Middle,39.2447,0.4404,2.8053
2014,Upper-Middle,28.8061,0.3068,3.5855
2015,High,20.3175,0.1999,3.9765
2015,Low,18.0402,0.5109,2.4514
2015,Lower-Middle,39.683,0.4443,2.912
2015,Upper-Middle,28.5703,0.3118,3.3382
2016,High,20.3101,0.2019,4.1388
2016,Low,18.3508,0.5084,2.5257
2016,Lower-Middle,40.24,0.4481,2.776
2016,Upper-Middle,29.1046,0.3168,3.3091
2017,High,20.8743,0.203,4.04
2017,Low,17.8623,0.5254,2.1886
2017,Lower-Middle,40.1826,0.4574,2.6693
2017,Upper-Middle,29.2974,0.3253,3.2909
2018,High,20.7576,0.2075,3.8918
2018,Low,18.4968,0.5351,2.3829
2018,Lower-Middle,39.867,0.4662,2.6293
2018,Upper-Middle,29.0044,0.3274,3.3091
2019,High,21.0942,0.2129,4.1082
2019,Low,18.7129,0.5376,2.3886
2019,Lower-Middle,40.642,0.4723,2.528
2019,Upper-Middle,29.8297,0.3274,3.2182
2020,High,21.0843,0.2151,4.0306
2020,Low,18.6197,0.5616,2.3429
2020,Lower-Middle,41.0827,0.4722,2.5653
2020,Upper-Middle,29.5285,0.3317,3.3745
2021,High,21.12,0.2196,3.8965
2021,Low,18.8734,0.5604,2.28
2021,Lower-Middle,40.7877,0.4924,2.4587
2021,Upper-Middle,29.7322,0.3421,3.4036
2022,High,21.0945,0.2216,3.7694
2022,Low,18.9381,0.5711,1.9029
2022,Lower-Middle,40.8481,0.4894,2.576
2022,Upper-Middle,29.606,0.3555,3.3309
2023,High,21.3054,0.2259,3.8329
2023,Low,19.2375,0.5836,1.8514
2023,Lower-Middle,42.0004,0.4985,2.4507
2023,Upper-Middle,29.4349,0.3503,3.1527
2024,High,21.5562,0.2265,3.8471
2024,Low,19.0192,0.5815,2.0514
2024,Lower-Middle,41.6088,0.5097,2.4053
2024,Upper-Middle,30.3211,0.359,3.2
2025,High,21.5869,0.2374,3.8824
2025,Low,19.1552,0.5875,2.1486
2025,Lower-Middle,41.3822,0.5092,2.384
2025,Upper-Middle,30.0592,0.3584,3.3418
