pathogen,pathogen_type,gram_status,who_priority,avg_resistance_rate,max_resistance_rate,trend_slope,mdr_rate,xdr_rate,avg_mortality,avg_economic_burden,one_health_link,countries_with_data
Mycobacterium tuberculosis,Bacteria,AFB,Critical,0.50346,0.95,0.00651,0.77625,0.3825,12.26024,18003.5975,0,50
Klebsiella pneumoniae (CRE),Bacteria,Gram-negative,Critical,0.49115,0.95,0.00727,0.7525,0.34625,12.03545,16695.8975,0,50
Escherichia coli (ESBL),Bacteria,Gram-negative,Critical,0.48883,0.95,0.00689,0.75375,0.335,11.87928,17152.44,1,50
Plasmodium falciparum,Parasite,N/A,Critical,0.46554,0.95,0.00722,0.76125,0.31375,11.8409,17082.74125,0,50
Pseudomonas aeruginosa,Bacteria,Gram-negative,Critical,0.46536,0.9375,0.0075,0.7675,0.30875,12.02288,16625.42,0,50
Candida auris,Fungi,N/A,Critical,0.46286,0.9442,0.00729,0.76625,0.28375,11.73234,16882.83375,0,50
Acinetobacter baumannii,Bacteria,Gram-negative,Critical,0.46206,0.9317,0.00742,0.77875,0.29625,12.23721,17095.04125,0,50
Staphylococcus aureus (MRSA),Bacteria,Gram-positive,High,0.35432,0.7361,0.00554,0.62,0.12875,10.11676,15440.04625,0,50
Streptococcus pneumoniae,Bacteria,Gram-positive,High,0.35366,0.7563,0.00505,0.635,0.125,10.09356,15818.95875,0,50
Plasmodium vivax,Parasite,N/A,High,0.3522,0.7228,0.00583,0.64375,0.11625,10.15534,15715.67625,0,50
Neisseria gonorrhoeae,Bacteria,Gram-negative,High,0.35206,0.7471,0.006,0.61375,0.1325,10.0221,15617.8425,0,50
Enterococcus faecium (VRE),Bacteria,Gram-positive,High,0.35203,0.7376,0.00519,0.64875,0.09375,10.08898,15248.66875,0,50
HIV-1 (ARV-resistant),Virus,N/A,High,0.35199,0.7611,0.00613,0.61875,0.13875,10.27381,15863.5725,0,50
Helicobacter pylori,Bacteria,Gram-negative,High,0.35195,0.7591,0.00517,0.6575,0.12875,10.26365,16076.225,0,50
Aspergillus fumigatus,Fungi,N/A,High,0.35086,0.7386,0.0063,0.62625,0.12125,9.84746,15473.13375,1,50
Enterobacter cloacae,Bacteria,Gram-negative,High,0.35024,0.7099,0.00508,0.62,0.13375,10.26712,15148.80875,1,50
Campylobacter spp.,Bacteria,Gram-negative,High,0.3499,0.7377,0.00507,0.6525,0.10875,10.35172,16299.905,1,50
Salmonella spp. (NTS),Bacteria,Gram-negative,High,0.34733,0.7099,0.00486,0.62625,0.11875,10.41408,15523.75375,1,50
Haemophilus influenzae,Bacteria,Gram-negative,Medium,0.23822,0.5056,0.00414,0.42125,0.07625,7.44646,14149.20875,0,50
Influenza A (Oseltamivir-R),Virus,N/A,Medium,0.23806,0.4968,0.00369,0.37625,0.0725,7.28227,15020.215,0,50
Shigella spp.,Bacteria,Gram-negative,Medium,0.23768,0.4792,0.00337,0.4025,0.08625,7.61323,14697.4075,0,50
Stenotrophomonas maltophilia,Bacteria,Gram-negative,Medium,0.23733,0.4936,0.00347,0.4275,0.07875,7.39164,14373.62625,0,50
Clostridioides difficile,Bacteria,Gram-positive,Medium,0.23637,0.4909,0.00321,0.395,0.1025,7.58656,14864.2775,0,50
Hepatitis B (nucleoside-R),Virus,N/A,Medium,0.2363,0.4919,0.00391,0.4325,0.07875,7.47901,14514.8475,0,50
Nontuberculous Mycobacteria,Bacteria,AFB,Medium,0.23595,0.4893,0.00407,0.41875,0.08125,7.4706,14575.61625,1,50
