player_name,all_star_selections,seasons_played,avg_pts,avg_per,peak_pts,career_ws,career_vorp
Kobe Bryant,10,10,22.259999999999998,21.91,25.5,85.6,19.91
Dwyane Wade,9,9,20.866666666666667,23.255555555555556,26.0,86.8,39.92
John Stockton,9,9,21.033333333333335,20.37777777777778,22.5,80.2,18.700000000000003
Michael Jordan,8,8,22.15,23.3,27.2,75.5,46.03
Damian Lillard,7,7,21.5,21.914285714285715,25.5,57.800000000000004,25.15
LeBron James,7,7,19.242857142857144,20.74285714285714,21.1,62.6,31.939999999999998
James Harden,7,7,22.7,20.24285714285714,25.7,60.599999999999994,6.16
Kevin Garnett,6,6,20.466666666666665,19.133333333333333,22.4,49.6,12.629999999999999
Klay Thompson,6,6,23.0,22.2,25.5,55.7,7.0
Tim Duncan,6,6,19.766666666666666,21.066666666666666,21.8,57.2,7.8
Jimmy Butler,6,6,21.46666666666667,20.866666666666667,23.3,51.800000000000004,19.35
Kawhi Leonard,6,6,19.183333333333334,20.75,20.6,52.4,19.509999999999998
Chris Paul,6,6,20.78333333333333,23.066666666666666,23.7,51.0,12.219999999999999
Stephen Curry,5,5,21.5,22.6,22.9,36.2,11.36
Russell Westbrook,5,5,19.880000000000003,22.5,22.8,44.8,24.82
Kevin Durant,5,5,20.020000000000003,18.740000000000002,22.6,42.5,8.88
Luka Doncic,4,4,21.15,21.25,23.3,28.7,7.470000000000001
Tracy McGrady,4,4,20.875,22.175,22.3,35.5,19.669999999999998
Karl Malone,4,4,19.775,19.125,21.5,38.5,11.169999999999998
Carmelo Anthony,4,4,20.175,19.15,21.8,36.5,26.18
Magic Johnson,4,4,19.975,21.75,21.6,33.5,10.83
Devin Booker,4,4,23.35,22.924999999999997,24.6,33.6,17.330000000000002
Draymond Green,4,4,20.175,18.625,21.1,37.9,22.95
Giannis Antetokounmpo,4,4,19.375,19.3,20.2,36.8,8.9
Scottie Pippen,3,3,20.333333333333332,19.7,20.8,25.799999999999997,7.73
Paul George,3,3,20.7,19.866666666666667,21.8,28.3,7.73
Jayson Tatum,3,3,18.5,19.633333333333333,19.1,28.9,4.17
Shai Gilgeous-Alexander,3,3,21.666666666666668,22.833333333333332,22.4,27.700000000000003,9.469999999999999
Deron Williams,3,3,21.733333333333334,22.166666666666668,23.4,24.2,7.13
Dirk Nowitzki,3,3,19.633333333333336,20.066666666666666,20.5,29.799999999999997,8.39
Allen Iverson,2,2,18.85,22.55,19.1,18.5,4.73
Larry Bird,2,2,21.1,19.85,21.5,17.799999999999997,4.640000000000001
Hakeem Olajuwon,2,2,18.65,16.6,18.7,14.2,6.66
Anthony Davis,1,1,18.4,17.8,18.4,7.4,4.48
Charles Barkley,1,1,18.9,19.7,18.9,7.4,2.09
David Robinson,1,1,18.8,13.1,18.8,9.2,-0.63
Joel Embiid,1,1,19.9,17.7,19.9,9.9,3.64
Julius Erving,1,1,19.0,20.7,19.0,7.5,0.89
Patrick Ewing,1,1,18.3,16.6,18.3,8.1,0.26
