athlete_id,name,gender,age_at_peak,country,noc_code,region,sport,sport_category,season,first_games_year,last_games_year,games_participated,gold_medals,silver_medals,bronze_medals,total_medals,world_record_holder,personal_best_rank_world,height_cm,weight_kg,bmi,training_hours_per_week,professional_athlete,doping_violation,most_recent_medal_2020plus
A000001,Adaeze Ali,Female,23,Russia,RUS,Europe,Diving,Aquatics,Summer,2016,2020,2,0,0,1,1,0,156,168,51,18.1,29,1,0,1
A000002,Wei Dubois,Male,27,Croatia,CRO,Europe,Cross-Country Skiing,Skiing,Winter,2006,2010,2,1,2,0,3,1,33,177,78,24.9,34,1,1,0
A000003,Sven Ngozi,Male,35,Sweden,SWE,Europe,Equestrian,Other,Summer,2010,2010,1,0,0,0,0,0,327,168,81,28.7,28,0,0,0
A000004,James Müller,Male,25,Romania,ROU,Europe,Snowboard,Snowboard,Winter,2006,2006,1,2,0,1,3,1,31,164,81,30.1,34,1,0,0
A000005,Megan Tran,Female,15,Romania,ROU,Europe,Gymnastics,Gymnastics,Summer,1994,1994,1,0,0,0,0,0,429,159,45,17.8,26,1,0,0
A000006,Astrid Okonkwo,Female,32,Denmark,DEN,Europe,Nordic Combined,Skiing,Winter,1996,2000,1,0,0,0,0,0,2,164,52,19.3,29,0,0,0
A000007,Arjun Björk,Male,27,Finland,FIN,Europe,Fencing,Combat,Summer,2020,2024,2,0,0,2,2,0,292,192,71,19.3,31,1,0,1
A000008,Aisha Adenike,Female,23,Denmark,DEN,Europe,Swimming,Aquatics,Summer,2004,2004,1,0,0,1,1,0,53,165,65,23.9,10,1,0,0
A000009,Erik Yıldız,Male,29,Romania,ROU,Europe,Shooting,Shooting,Summer,2004,2004,1,0,1,0,1,0,6,182,94,28.4,10,0,0,0
A000010,Liam Hernández,Male,26,Uganda,UGA,Africa,Canoe/Kayak,Water,Summer,2020,2020,1,0,1,2,3,0,2,177,89,28.4,19,1,0,1
A000011,Arjun García,Male,30,Ethiopia,ETH,Africa,Canoe/Kayak,Water,Summer,2020,2020,1,1,1,1,3,1,372,168,81,28.7,28,1,0,1
