symbol,name,category,launch_year,consensus_mechanism,max_supply_million,ath_price_usd,ath_date,current_price_usd,current_market_cap_billion,pct_below_ath,months_of_data,avg_monthly_return_pct,avg_volatility_pct,max_drawdown_pct,positive_months_pct,avg_sentiment,avg_fear_greed,total_volume_usd_billion
BTC,Bitcoin,Store of Value,2009,PoW,21.0,120295.87392405,2021-04,99903.85919656,1968.106,-17.0,99,3.34,17.2,-87.6,56.6,0.138,55.5,1448.5
ETH,Ethereum,Smart Contract,2015,PoS,,5120.59626355,2021-01,4120.49196817,494.459,-19.5,99,3.68,16.3,-88.6,56.6,0.102,53.9,607.0
BNB,BNB,Exchange Token,2017,PoSA,200.0,835.09040441,2021-04,644.31436923,93.426,-22.8,99,4.02,16.6,-94.0,55.6,0.117,55.0,162.4
SOL,Solana,Smart Contract,2020,PoH/PoS,,278.84714162,2021-04,186.06805974,83.731,-33.3,75,4.81,16.1,-94.6,52.0,0.292,59.5,163.1
XRP,XRP,Payments,2012,RPCA,100000.0,4.12119038,2021-03,3.20948192,176.522,-22.1,99,3.79,16.5,-94.0,52.5,0.104,55.8,108.6
ADA,Cardano,Smart Contract,2017,PoS,45000.0,3.18481321,2021-02,2.5088305,67.738,-21.2,99,4.01,16.3,-93.2,49.5,0.139,54.6,27.8
AVAX,Avalanche,Smart Contract,2020,PoS,720.0,154.19708703,2021-04,103.7675123,44.828,-32.7,75,5.11,16.7,-93.8,56.0,0.274,57.8,23.4
DOT,Polkadot,Interoperability,2020,NPoS,,57.13686615,2021-04,34.50898777,34.509,-39.6,75,4.43,16.7,-94.8,52.0,0.281,59.1,24.6
MATIC,Polygon,Layer 2,2019,PoS,10000.0,2.75758387,2025-12,2.25661087,13.54,-18.2,87,4.09,16.7,-93.9,59.8,0.208,57.6,26.7
LINK,Chainlink,Oracle,2017,N/A,1000.0,53.27259783,2021-04,34.96427001,20.979,-34.4,99,4.61,16.5,-94.7,53.5,0.169,53.8,26.9
LTC,Litecoin,Payments,2011,PoW,84.0,430.7586204,2021-04,310.59826731,15.654,-27.9,99,3.77,16.7,-94.7,55.6,0.142,53.9,27.1
ATOM,Cosmos,Interoperability,2019,PoS,,46.75067273,2021-03,29.71072785,29.711,-36.4,87,4.52,15.8,-94.6,59.8,0.212,57.5,25.3
UNI,Uniswap,DeFi / DEX,2020,N/A,1000.0,47.42163079,2021-04,36.79900743,22.079,-22.4,75,4.84,16.1,-94.6,56.0,0.25,60.0,24.0
AAVE,Aave,DeFi / Lending,2020,N/A,16.0,678.16216989,2021-02,517.20676048,4.965,-23.7,75,4.16,17.5,-93.6,58.7,0.298,60.4,24.9
DOGE,Dogecoin,Meme,2013,PoW,,0.6790185,2021-01,0.44971707,0.45,-33.8,99,6.18,17.1,-97.5,57.6,0.164,53.8,26.7
SHIB,Shiba Inu,Meme,2020,N/A,999990000000.0,8.101e-05,2021-03,5.488e-05,32927.671,-32.3,75,9.42,17.0,-99.5,70.7,0.328,58.6,22.6
FTT,FTX Token,Exchange Token,2019,N/A,352.0,85.98154654,2021-04,0.70875096,0.15,-99.2,87,-0.17,16.6,-99.2,48.3,0.115,57.5,25.5
LUNA,Terra Luna,Stablecoin Algo,2019,PoS,,103.48528259,2021-04,0.00013635,0.0,-100.0,87,2.35,15.7,-100.0,57.5,0.177,57.3,24.4
XLM,Stellar,Payments,2014,SCP,50000.0,0.92035562,2021-04,0.57818888,17.346,-37.2,99,3.82,17.1,-94.2,62.6,0.111,56.2,26.1
NEAR,NEAR Protocol,Smart Contract,2020,PoS,,21.68613732,2021-03,17.52618404,17.526,-19.2,75,4.54,16.4,-94.3,58.7,0.262,60.9,24.2
APT,Aptos,Smart Contract,2022,PoS,,18.17988162,2025-08,15.85221652,15.852,-12.8,51,4.44,16.2,-77.3,45.1,0.242,60.9,16.5
ARB,Arbitrum,Layer 2,2021,N/A,10000.0,2.17280654,2021-03,2.09830408,12.59,-3.4,63,2.46,16.0,-93.1,44.4,0.24,61.2,21.1
OP,Optimism,Layer 2,2021,N/A,4294.0,4.98419084,2021-02,3.54027871,9.121,-29.0,63,2.16,15.5,-93.7,50.8,0.29,61.2,18.8
SUI,Sui,Smart Contract,2023,PoS,10000.0,5.11683829,2025-07,4.0306485,24.184,-21.2,39,5.1,17.0,-38.4,53.8,0.366,64.8,15.8
WIF,Dogwifhat,Meme,2023,N/A,998926392.0,3.04335639,2025-09,2.3389484,1401862.372,-23.1,39,15.47,16.4,-54.9,74.4,0.37,65.9,15.6
PEPE,Pepe,Meme,2023,N/A,420690000000000.0,1.976e-05,2025-08,1.355e-05,3420209.7,-31.4,39,13.58,15.8,-47.7,69.2,0.396,62.5,13.2
BONK,Bonk,Meme,2022,N/A,93759285759072.0,3.813e-05,2025-08,2.849e-05,1602721.231,-25.3,51,20.13,16.5,-97.7,58.8,0.188,58.0,14.7
JUP,Jupiter,DeFi / DEX,2024,N/A,10000.0,1.70700135,2025-12,1.23796731,7.428,-27.5,27,2.62,17.4,-38.9,55.6,0.521,71.1,12.3
RENDER,Render,AI / Compute,2020,N/A,536870912.0,14.66072522,2021-04,8.31482407,2678392.309,-43.3,75,4.86,16.4,-94.8,52.0,0.24,60.8,24.1
FET,Fetch.ai,AI / Compute,2019,PoS,1152.0,3.61319101,2021-02,2.48388172,1.717,-31.3,87,4.3,16.6,-93.6,49.4,0.137,57.9,22.1
WLD,Worldcoin,AI / Identity,2023,PoS,10000.0,10.91644886,2025-05,9.36531299,56.192,-14.2,39,6.64,15.8,-40.8,64.1,0.367,63.5,12.7
ALGO,Algorand,Smart Contract,2019,PPoS,10000.0,3.81964949,2021-04,2.15602352,12.936,-43.6,87,4.64,16.9,-94.3,62.1,0.194,58.6,27.9
HBAR,Hedera,Enterprise DLT,2019,PoS,50000.0,0.53427077,2025-06,0.35118662,10.536,-34.3,87,4.24,16.1,-93.4,57.5,0.128,57.8,27.4
GRT,The Graph,Data / Indexing,2020,N/A,10057.0,2.97765715,2021-04,2.02713704,12.232,-31.9,75,4.73,16.5,-95.1,60.0,0.299,60.1,24.0
TRX,Tron,Smart Contract,2017,DPoS,,0.24966206,2021-04,0.17115165,0.171,-31.4,99,4.41,17.1,-94.6,56.6,0.077,54.2,26.9
BCH,Bitcoin Cash,Payments,2017,PoW,21.0,4174.12251044,2025-09,3851.41199375,48.528,-7.7,99,4.53,17.7,-94.2,54.5,0.108,53.2,25.9
ETC,Ethereum Classic,Smart Contract,2016,PoW,210.7,180.55193514,2021-02,146.32671483,18.499,-19.0,99,3.76,16.9,-94.7,51.5,0.109,53.4,27.4
VET,VeChain,Supply Chain,2018,PoA,86712.0,0.28965795,2021-02,0.16850996,8.767,-41.8,99,4.18,16.6,-94.0,56.6,0.127,52.4,25.1
FIL,Filecoin,Storage,2020,PoRep,1960.0,229.31056037,2025-10,202.46093386,238.094,-11.7,75,4.52,15.9,-93.6,56.0,0.252,60.2,26.7
ICP,Internet Computer,Smart Contract,2021,PoS,,841.48351449,2021-04,481.01078868,481.011,-42.8,63,2.42,15.8,-94.6,50.8,0.244,60.4,20.3
FLOW,Flow,NFT Platform,2020,PoS,,49.82316261,2021-04,40.16659085,40.167,-19.4,75,5.35,16.2,-94.5,56.0,0.227,57.0,22.0
