date,year,month,quarter,symbol,name,category,consensus_mechanism,open_usd,high_usd,low_usd,close_usd,monthly_return_pct,monthly_volatility_pct,volume_usd_billion,market_cap_usd_billion,dominance_pct,active_addresses_thousands,transaction_count_thousands,social_sentiment_score,fear_greed_index,exchange_netflow_million_usd
2018-01,2018,1,Q1,BTC,Bitcoin,Store of Value,PoW,28607.5548122,33039.7486679,27220.10341247,28786.40596425,0.63,15.0,6.903,567.092,56.4,764,4862,-0.689,47,-4.1
2018-02,2018,2,Q1,BTC,Bitcoin,Store of Value,PoW,28786.40596425,28412.50973371,23430.90105558,25644.81554643,-10.91,15.6,7.957,505.203,39.9,558,6616,-0.359,28,8.5
2018-03,2018,3,Q1,BTC,Bitcoin,Store of Value,PoW,25644.81554643,37063.17518548,33433.36856849,35807.54156347,39.63,10.5,8.718,705.409,54.3,598,1559,0.263,40,-20.4
2018-04,2018,4,Q2,BTC,Bitcoin,Store of Value,PoW,35807.54156347,32077.53107848,26897.29548432,29904.00399882,-16.49,16.3,5.295,589.109,39.9,606,5007,-0.458,45,-12.2
2018-05,2018,5,Q2,BTC,Bitcoin,Store of Value,PoW,29904.00399882,33078.9733962,27715.17390308,30603.64993839,2.34,22.5,4.003,602.892,53.7,485,7951,-0.229,53,-12.8
2018-06,2018,6,Q2,BTC,Bitcoin,Store of Value,PoW,30603.64993839,32310.09719999,26703.44114984,28614.40859205,-6.5,18.2,5.954,563.704,43.2,461,10446,-0.907,39,-24.3
2018-07,2018,7,Q3,BTC,Bitcoin,Store of Value,PoW,28614.40859205,27799.76978221,24091.32840879,25280.698627,-11.65,12.5,6.073,498.03,56.0,408,12294,-0.433,41,2.0
2018-08,2018,8,Q3,BTC,Bitcoin,Store of Value,PoW,25280.698627,23456.25240658,20212.5232311,22334.33590882,-11.65,10.9,5.95,439.986,55.3,524,8699,-0.499,46,2.4
2018-09,2018,9,Q3,BTC,Bitcoin,Store of Value,PoW,22334.33590882,23027.76192141,15858.37145409,20519.51390237,-8.13,23.8,1.787,404.234,53.7,352,18603,0.028,29,21.6
2018-10,2018,10,Q4,BTC,Bitcoin,Store of Value,PoW,20519.51390237,28867.39674139,21780.58522421,25823.12375178,25.85,19.7,2.449,508.716,60.2,425,15356,-0.021,29,1.1
2018-11,2018,11,Q4,BTC,Bitcoin,Store of Value,PoW,25823.12375178,29794.26286182,21992.41125163,24691.29322403,-4.38,23.1,3.223,486.418,61.4,178,7674,-0.769,42,5.3
2018-12,2018,12,Q4,BTC,Bitcoin,Store of Value,PoW,24691.29322403,22952.53810008,18683.42173707,20371.98212084,-17.49,16.4,2.812,401.328,54.7,326,4387,-0.603,38,-2.4
2019-01,2019,1,Q1,BTC,Bitcoin,Store of Value,PoW,20371.98212084,25398.44099383,18892.27602617,21897.5837361,7.49,18.2,8.397,431.382,43.2,630,14097,-0.066,39,16.0
2019-02,2019,2,Q1,BTC,Bitcoin,Store of Value,PoW,21897.5837361,32704.87793484,30177.54476711,31381.83439907,43.31,9.9,6.557,618.222,55.4,480,13307,-0.409,18,6.1
2019-03,2019,3,Q1,BTC,Bitcoin,Store of Value,PoW,31381.83439907,33670.82509043,26758.11232811,30577.08983556,-2.56,24.6,4.771,602.369,45.5,416,8674,-0.317,35,5.2
2019-04,2019,4,Q2,BTC,Bitcoin,Store of Value,PoW,30577.08983556,27551.39904288,24105.10716421,25473.89973752,-16.69,8.4,8.804,501.836,39.9,379,11075,-0.409,43,12.0
2019-05,2019,5,Q2,BTC,Bitcoin,Store of Value,PoW,25473.89973752,35662.18094414,31061.95123031,33100.46720444,29.94,17.0,2.17,652.079,49.0,247,7124,-0.33,44,-2.9
2019-06,2019,6,Q2,BTC,Bitcoin,Store of Value,PoW,33100.46720444,40221.04789265,33896.70187478,36873.55437667,11.4,19.4,13.243,726.409,51.5,334,22693,-0.075,34,30.2
2019-07,2019,7,Q3,BTC,Bitcoin,Store of Value,PoW,36873.55437667,37680.30461627,33861.83390923,35795.83756531,-2.92,8.2,11.526,705.178,44.3,1122,9837,0.225,26,14.6
2019-08,2019,8,Q3,BTC,Bitcoin,Store of Value,PoW,35795.83756531,37054.88511552,27238.02957156,34467.92989368,-3.71,21.4,4.793,679.018,54.1,366,11838,-0.009,36,-27.7
2019-09,2019,9,Q3,BTC,Bitcoin,Store of Value,PoW,34467.92989368,48933.94608419,38758.9110641,43351.35221633,25.77,14.7,6.559,854.022,39.9,762,9615,-0.743,34,-36.8
2019-10,2019,10,Q4,BTC,Bitcoin,Store of Value,PoW,43351.35221633,49449.84082695,38693.67968424,44531.65172433,2.72,18.8,8.471,877.274,43.6,276,7063,0.121,50,-23.2
2019-11,2019,11,Q4,BTC,Bitcoin,Store of Value,PoW,44531.65172433,44432.77915298,35222.09835341,40793.72615167,-8.39,24.3,14.051,803.636,39.2,234,8082,-0.443,49,4.5
2019-12,2019,12,Q4,BTC,Bitcoin,Store of Value,PoW,40793.72615167,46485.44300478,34187.01300832,41464.48779981,1.64,23.7,17.218,816.85,58.1,761,10215,0.146,55,18.6
2020-01,2020,1,Q1,BTC,Bitcoin,Store of Value,PoW,41464.48779981,38145.17300685,30006.50640261,33004.70048308,-20.4,22.4,5.034,650.193,42.7,566,4135,-0.038,54,-21.7
2020-02,2020,2,Q1,BTC,Bitcoin,Store of Value,PoW,33004.70048308,48331.27362305,43550.99346242,45797.4972103,38.76,14.5,6.857,902.211,55.8,1216,17915,0.226,63,-10.6
2020-03,2020,3,Q1,BTC,Bitcoin,Store of Value,PoW,45797.4972103,60107.6013272,44826.7822102,51111.12097374,11.6,19.1,17.481,1006.889,59.4,833,2724,0.303,39,-8.0
2020-04,2020,4,Q2,BTC,Bitcoin,Store of Value,PoW,51111.12097374,59099.54431417,53099.90139293,56421.33459341,10.39,14.0,3.653,1111.5,50.2,254,3899,0.785,47,35.8
2020-05,2020,5,Q2,BTC,Bitcoin,Store of Value,PoW,56421.33459341,64862.39048856,57667.01486226,60080.96673366,6.49,12.9,6.427,1183.595,46.8,164,6838,-0.261,60,-6.6
2020-06,2020,6,Q2,BTC,Bitcoin,Store of Value,PoW,60080.96673366,69944.92596528,56444.42961443,64757.7965945,7.78,18.0,17.579,1275.729,48.4,380,6071,-0.321,55,30.8
2020-07,2020,7,Q3,BTC,Bitcoin,Store of Value,PoW,64757.7965945,61388.60535737,47892.66698898,55063.18852441,-14.97,13.4,19.918,1084.745,50.2,632,8908,-0.182,47,7.2
