date,total_market_cap_billion,total_volume_billion,avg_return_pct,avg_volatility_pct,avg_sentiment,avg_fear_greed,coins_in_data,pct_coins_positive,year,month
2018-01,734.147,16.582,2.802,16.041,-0.213,36.765,17,58.824,2018,1
2018-02,685.724,13.178,3.244,16.047,-0.226,40.765,17,58.824,2018,2
2018-03,865.908,14.115,-7.728,16.188,-0.319,39.353,17,23.529,2018,3
2018-04,757.342,9.477,-4.666,18.347,-0.378,38.765,17,41.176,2018,4
2018-05,770.68,10.012,1.669,16.388,-0.277,38.471,17,70.588,2018,5
2018-06,721.527,12.319,-2.076,18.188,-0.39,41.588,17,35.294,2018,6
2018-07,659.831,11.041,-7.491,15.294,-0.382,36.529,17,29.412,2018,7
2018-08,585.005,11.725,-4.876,14.253,-0.417,35.235,17,29.412,2018,8
2018-09,550.469,5.048,-4.551,17.576,-0.241,38.765,17,23.529,2018,9
2018-10,635.578,7.938,-5.908,18.165,-0.268,34.235,17,35.294,2018,10
2018-11,645.485,6.944,-0.969,17.1,-0.268,41.294,17,35.294,2018,11
2018-12,532.42,5.934,-6.872,17.171,-0.275,31.824,17,35.294,2018,12
2019-01,625.811,12.543,25.27,15.371,-0.316,35.5,24,70.833,2019,1
2019-02,818.543,11.937,5.978,15.625,-0.228,34.875,24,62.5,2019,2
2019-03,811.541,11.275,15.286,17.012,-0.233,38.5,24,79.167,2019,3
2019-04,712.501,18.785,2.525,16.421,-0.308,37.333,24,50.0,2019,4
2019-05,888.479,10.628,12.463,16.183,-0.203,40.125,24,75.0,2019,5
2019-06,978.354,18.684,9.07,16.429,-0.183,39.333,24,70.833,2019,6
2019-07,982.332,20.153,6.421,16.208,0.004,36.167,24,66.667,2019,7
2019-08,958.692,12.793,4.052,16.846,-0.128,42.625,24,58.333,2019,8
2019-09,1076.006,12.575,10.04,17.521,-0.137,41.375,24,70.833,2019,9
2019-10,1167.467,20.363,7.757,16.854,-0.071,45.292,24,66.667,2019,10
2019-11,1070.55,21.368,6.507,16.262,-0.107,43.25,24,58.333,2019,11
2019-12,1106.243,25.126,6.092,16.067,-0.18,44.875,24,58.333,2019,12
2020-01,840497.608,18.273,-6.616,15.758,-0.073,45.194,36,33.333,2020,1
2020-02,1159545.976,18.288,19.646,16.278,-0.048,48.694,36,86.111,2020,2
2020-03,1078253.5,29.022,14.423,18.047,0.008,51.0,36,72.222,2020,3
2020-04,1443284.04,16.952,20.188,17.125,0.008,51.028,36,86.111,2020,4
2020-05,1259618.178,22.227,11.952,16.711,0.072,51.583,36,66.667,2020,5
2020-06,1992381.7,32.651,15.06,16.844,0.152,55.778,36,80.556,2020,6
2020-07,1909175.189,37.013,13.204,17.736,0.169,58.361,36,69.444,2020,7
2020-08,2404358.642,36.087,16.416,17.778,0.216,62.5,36,75.0,2020,8
2020-09,2269112.719,50.506,5.903,15.353,0.189,61.111,36,75.0,2020,9
2020-10,2570075.131,53.283,11.779,15.433,0.404,67.889,36,75.0,2020,10
2020-11,3171222.152,48.906,14.39,16.961,0.468,66.389,36,77.778,2020,11
2020-12,2520221.063,66.277,3.702,17.814,0.538,72.222,36,52.778,2020,12
2021-01,3840156.451,66.854,28.474,17.565,0.733,78.275,40,97.5,2021,1
2021-02,4388794.356,45.869,5.213,17.102,0.689,79.675,40,57.5,2021,2
2021-03,4140149.05,82.276,2.969,16.59,0.775,80.75,40,52.5,2021,3
2021-04,4775823.267,66.482,7.804,16.288,0.719,84.925,40,62.5,2021,4
2021-05,2651435.343,42.129,-43.307,16.382,0.388,61.375,40,0.0,2021,5
2021-06,2690048.972,64.591,3.967,17.1,0.318,63.075,40,55.0,2021,6
2021-07,2697231.854,37.728,5.589,16.75,0.404,65.05,40,67.5,2021,7
2021-08,2401722.248,50.735,5.604,15.29,0.328,66.9,40,62.5,2021,8
2021-09,2240860.978,37.148,-2.79,17.12,0.448,61.975,40,32.5,2021,9
2021-10,2492804.472,43.944,6.207,15.34,0.508,66.85,40,67.5,2021,10
2021-11,2580857.238,40.62,6.444,16.945,0.414,68.35,40,67.5,2021,11
2021-12,2296202.177,35.854,-28.264,16.908,0.155,60.25,40,0.0,2021,12
2022-01,1110879.04,22.734,-38.853,15.388,-0.053,45.714,42,2.381,2022,1
2022-02,1054921.842,28.956,-15.766,16.112,-0.135,41.857,42,11.905,2022,2
2022-03,811764.551,29.03,-12.017,17.598,-0.153,40.5,42,23.81,2022,3
2022-04,740740.721,15.164,-21.211,16.519,-0.247,40.667,42,9.524,2022,4
2022-05,533913.055,16.392,-24.501,14.471,-0.237,37.429,42,7.143,2022,5
2022-06,314727.232,9.44,-45.235,17.252,-0.384,31.857,42,2.381,2022,6
2022-07,250421.533,8.885,3.236,17.079,-0.423,33.119,42,47.619,2022,7
2022-08,312907.341,6.386,7.139,16.317,-0.438,33.381,42,59.524,2022,8
2022-09,282865.411,8.926,4.12,16.205,-0.409,34.786,42,57.143,2022,9
