race_id,season,circuit_id,lap_number,driver,lap_time_s,sector1_s,sector2_s,sector3_s,tyre_compound,tyre_age_laps,drs_active,speed_trap_kmh,is_pit_lap
R00293,2024,cota,1,Lando Norris,81.67,22.904,31.087,27.679,Medium,1,0,334.6,0
R00293,2024,cota,6,Lando Norris,82.414,23.121,31.338,27.955,Medium,6,1,346.1,0
R00293,2024,cota,11,Lando Norris,82.976,23.29,31.516,28.17,Medium,11,1,339.7,0
R00293,2024,cota,16,Lando Norris,83.613,23.5,31.725,28.388,Medium,16,1,306.3,0
R00293,2024,cota,21,Lando Norris,84.132,23.533,31.958,28.641,Medium,21,1,334.3,0
R00293,2024,cota,26,Lando Norris,81.915,22.862,31.093,27.96,Medium,1,1,309.2,0
R00293,2024,cota,31,Lando Norris,82.43,23.127,31.417,27.886,Medium,6,1,316.3,0
R00293,2024,cota,36,Lando Norris,82.931,23.259,31.519,28.153,Medium,11,1,338.7,1
R00293,2024,cota,41,Lando Norris,83.23,23.313,31.585,28.332,Medium,16,1,321.2,0
R00293,2024,cota,46,Lando Norris,84.241,23.564,31.992,28.685,Medium,21,1,325.5,0
R00293,2024,cota,51,Lando Norris,81.966,22.942,31.079,27.945,Medium,1,1,334.8,0
R00293,2024,cota,56,Lando Norris,82.385,23.114,31.368,27.903,Medium,6,1,310.7,0
R00181,2019,suzuka,1,Charles Leclerc,75.695,21.152,28.79,25.753,Soft,1,0,329.3,0
R00181,2019,suzuka,6,Charles Leclerc,76.012,21.298,28.919,25.795,Soft,6,1,323.5,0
R00181,2019,suzuka,11,Charles Leclerc,76.619,21.493,28.966,26.16,Soft,11,1,328.9,0
R00181,2019,suzuka,16,Charles Leclerc,76.994,21.523,29.31,26.161,Soft,16,1,323.3,0
R00181,2019,suzuka,21,Charles Leclerc,77.954,21.87,29.579,26.505,Soft,21,1,322.4,0
R00181,2019,suzuka,26,Charles Leclerc,75.39,21.116,28.641,25.633,Medium,1,1,330.8,0
R00181,2019,suzuka,31,Charles Leclerc,76.204,21.336,28.967,25.901,Medium,6,1,352.2,0
R00181,2019,suzuka,36,Charles Leclerc,76.351,21.299,29.004,26.048,Medium,11,1,304.2,0
R00181,2019,suzuka,41,Charles Leclerc,77.529,21.736,29.495,26.298,Medium,16,1,315.2,0
R00181,2019,suzuka,46,Charles Leclerc,77.885,21.803,29.638,26.444,Medium,21,1,341.1,0
R00181,2019,suzuka,51,Charles Leclerc,75.68,21.138,28.758,25.784,Medium,1,1,331.7,0
R00113,2016,spain,1,Lewis Hamilton,75.981,21.372,28.842,25.767,Hard,1,0,327.7,0
R00113,2016,spain,6,Lewis Hamilton,76.233,21.331,28.917,25.985,Hard,6,1,342.8,0
R00113,2016,spain,11,Lewis Hamilton,77.276,21.688,29.302,26.286,Hard,11,1,330.2,0
R00113,2016,spain,16,Lewis Hamilton,77.789,21.781,29.62,26.388,Hard,16,1,303.1,0
