race_id,season,round,circuit_id,qualifying_position,driver,team,q3_lap_time_s,q2_lap_time_s,q1_lap_time_s,gap_to_pole_s,tyre_compound,sector1_s,sector2_s,sector3_s,top_speed_kmh
R00002,2010,2,bahrain,1,Max Verstappen,Red Bull Racing,75.624,76.07914601654981,76.0563564576317,0.0,Medium,21.156,28.932,25.536,328.3
R00002,2010,2,bahrain,2,Driver_2,Team_2,75.949,76.10342490415637,76.24901351033955,0.163,Medium,21.15,28.908,25.891,328.2
R00002,2010,2,bahrain,3,Driver_3,Team_3,76.455,76.72373830100194,76.99484418085675,0.78,Medium,21.29,28.978,26.187,325.9
R00002,2010,2,bahrain,4,Driver_4,Team_4,76.766,77.10068758590563,77.6971929572599,1.501,Soft,21.563,29.121,26.082,332.0
R00002,2010,2,bahrain,5,Driver_5,Team_5,77.071,77.43235166748147,77.82387730259502,1.074,Medium,21.751,29.156,26.164,324.8
R00002,2010,2,bahrain,6,Driver_6,Team_6,77.676,77.84449186732482,78.02372099282047,2.7,Soft,21.738,29.516,26.422,327.7
R00002,2010,2,bahrain,7,Driver_7,Team_7,77.858,78.3142739482638,78.52654775901802,0.612,Soft,21.906,29.564,26.388,313.9
R00002,2010,2,bahrain,8,Driver_8,Team_8,77.642,77.90871331568638,78.00525386823338,0.928,Soft,21.705,29.432,26.505,308.6
R00002,2010,2,bahrain,9,Driver_9,Team_9,78.603,78.97094140575646,79.56146746322746,0.725,Soft,22.075,29.903,26.625,344.5
R00002,2010,2,bahrain,10,Driver_10,Team_10,78.663,79.15095329185648,79.53009263114058,5.092,Medium,22.012,29.651,27.0,329.7
R00003,2010,3,bahrain,1,Max Verstappen,Red Bull Racing,75.108,75.30107546044749,75.65233483944246,0.0,Soft,21.105,28.559,25.444,303.6
R00003,2010,3,bahrain,2,Driver_2,Team_2,75.479,75.97172672990617,76.19359300726772,0.586,Soft,21.194,28.525,25.76,335.5
R00003,2010,3,bahrain,3,Driver_3,Team_3,75.778,75.92347976926158,76.55876791842354,1.054,Soft,21.187,28.607,25.984,322.7
R00003,2010,3,bahrain,4,Driver_4,Team_4,76.699,77.13088708422403,77.45686153646768,0.51,Medium,21.286,29.002,26.411,353.6
R00003,2010,3,bahrain,5,Driver_5,Team_5,77.023,77.46119066138323,77.335667439706,1.205,Medium,21.577,29.393,26.053,324.7
R00003,2010,3,bahrain,6,Driver_6,Team_6,77.701,78.04816454209323,78.5293398420478,2.515,Medium,21.635,29.711,26.355,300.5
R00003,2010,3,bahrain,7,Driver_7,Team_7,77.792,78.28031376360215,78.74166396756263,1.002,Medium,21.657,29.477,26.658,330.6
R00003,2010,3,bahrain,8,Driver_8,Team_8,78.358,78.61085916525234,78.77015878500262,2.003,Soft,21.782,29.657,26.919,337.0
R00003,2010,3,bahrain,9,Driver_9,Team_9,79.007,79.11307028325798,79.64846108761172,4.038,Soft,22.173,29.976,26.858,296.5
R00003,2010,3,bahrain,10,Driver_10,Team_10,78.941,79.22082090778989,79.80815420570774,1.619,Medium,21.984,29.825,27.132,329.9
R00004,2010,4,bahrain,1,Charles Leclerc,Ferrari,75.772,76.01142736568481,76.13575087463127,0.0,Medium,21.187,28.748,25.837,322.2
R00004,2010,4,bahrain,2,Driver_2,Team_2,75.445,75.82654448816064,75.97982601825194,0.516,Medium,21.304,28.775,25.366,330.9
R00004,2010,4,bahrain,3,Driver_3,Team_3,76.622,77.11434107469124,77.20552134269268,0.716,Soft,21.318,28.97,26.334,339.2
R00004,2010,4,bahrain,4,Driver_4,Team_4,76.605,77.08038308600135,77.14638860723277,1.401,Soft,21.625,29.063,25.917,314.7
R00004,2010,4,bahrain,5,Driver_5,Team_5,76.721,76.96027347024739,77.24831128381526,1.392,Soft,21.416,29.096,26.209,306.4
R00004,2010,4,bahrain,6,Driver_6,Team_6,77.374,77.60668493479342,78.09077183139311,2.863,Soft,21.705,29.411,26.258,322.4
R00004,2010,4,bahrain,7,Driver_7,Team_7,77.468,77.71333919779067,77.89640064138058,2.5,Medium,21.658,29.336,26.474,318.0
R00004,2010,4,bahrain,8,Driver_8,Team_8,77.831,78.21992615227597,78.57525643793701,2.166,Medium,21.866,29.643,26.322,346.0
R00004,2010,4,bahrain,9,Driver_9,Team_9,79.106,79.36139382626784,80.08981244609774,2.2,Medium,22.15,30.058,26.898,345.3
R00004,2010,4,bahrain,10,Driver_10,Team_10,79.474,79.88945448840158,80.2198794525348,4.892,Soft,22.334,30.316,26.824,321.3
R00005,2010,5,spain,1,Max Verstappen,Red Bull Racing,75.489,75.5895710235018,76.23769236883695,0.0,Medium,21.049,28.757,25.683,311.5
R00005,2010,5,spain,2,Driver_2,Team_2,75.28,75.38032283251248,75.87753238264882,0.314,Medium,20.993,28.797,25.49,357.9
R00005,2010,5,spain,3,Driver_3,Team_3,76.134,76.5301825339724,76.71240556349184,0.905,Medium,21.346,29.059,25.729,326.6
R00005,2010,5,spain,4,Driver_4,Team_4,76.252,76.46633325267821,77.17732850750127,0.66,Soft,21.415,28.858,25.979,329.7
R00005,2010,5,spain,5,Driver_5,Team_5,77.347,77.53898800763014,78.09620906074127,1.716,Medium,21.586,29.454,26.307,327.7
R00005,2010,5,spain,6,Driver_6,Team_6,77.172,77.61046700621667,77.66515631486206,2.173,Soft,21.599,29.478,26.095,310.3
