country,region,income_group,year,population,gdp_usd,total_electricity_generation_twh,electricity_demand_twh,solar_electricity_twh,wind_electricity_twh,renewables_electricity_twh,hydro_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,solar_share_pct,wind_share_pct,renewables_share_pct,fossil_share_pct,low_carbon_share_pct,carbon_intensity_gco2_kwh,co2_saved_solar_wind_mt,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct,policy_milestone
Algeria,Africa,Lower-middle,2000,30903894.0,208554150552.0,25.4,25.33,0.0,0.0,0.05,0.05,0.0,25.35,0.0,0.0,0.197,99.803,0.197,638.58,0.0,,,,
Algeria,Africa,Lower-middle,2001,31331226.0,223420294027.0,26.62,26.57,0.0,0.0,0.07,0.07,0.0,26.55,0.0,0.0,0.263,99.737,0.263,638.24,0.0,,,40.0,
Algeria,Africa,Lower-middle,2002,31750832.0,245360923720.0,27.65,27.63,0.0,0.0,0.06,0.06,0.0,27.59,0.0,0.0,0.217,99.783,0.217,637.98,0.0,,,-14.3,
Algeria,Africa,Lower-middle,2003,32175813.0,273568638765.0,29.57,29.58,0.0,0.0,0.26,0.26,0.0,29.31,0.0,0.0,0.879,99.121,0.879,634.09,0.0,,,333.3,
Algeria,Africa,Lower-middle,2004,32628286.0,296773569597.0,31.25,31.26,0.0,0.0,0.25,0.25,0.0,31.0,0.0,0.0,0.8,99.2,0.8,634.56,0.0,,,-3.8,
Algeria,Africa,Lower-middle,2005,33109258.0,326854481030.0,33.91,33.99,0.0,0.0,0.55,0.55,0.0,33.36,0.0,0.0,1.622,98.378,1.622,629.31,0.0,,,120.0,
Algeria,Africa,Lower-middle,2006,33623505.0,345705309468.0,35.23,35.31,0.0,0.0,0.22,0.22,0.0,35.01,0.0,0.0,0.624,99.376,0.624,635.82,0.0,,,-60.0,
Algeria,Africa,Lower-middle,2007,34189420.0,371665260161.0,37.19,37.2,0.0,0.0,0.22,0.22,0.0,36.97,0.0,0.0,0.592,99.408,0.592,635.92,0.0,,,0.0,
Algeria,Africa,Lower-middle,2008,34816963.0,395658515586.0,40.23,40.18,0.0,0.0,0.28,0.28,0.0,39.95,0.0,0.0,0.696,99.304,0.696,635.35,0.0,,,27.3,
Algeria,Africa,Lower-middle,2009,35490442.0,418247711085.0,38.5,38.47,0.0,0.0,0.3,0.3,0.0,38.2,0.0,0.0,0.779,99.221,0.779,634.55,0.0,,,7.1,
Algeria,Africa,Lower-middle,2010,36188237.0,450705801593.0,45.73,45.66,0.0,0.0,0.17,0.17,0.0,45.56,0.0,0.0,0.372,99.628,0.372,637.0,0.0,,,-43.3,
Algeria,Africa,Lower-middle,2011,36903374.0,482028679734.0,51.22,51.08,0.0,0.0,0.5,0.5,0.0,50.72,0.0,0.0,0.976,99.024,0.976,633.35,0.0,,,194.1,
Algeria,Africa,Lower-middle,2012,37646165.0,498417638719.0,57.4,57.35,0.0,0.0,0.62,0.62,0.0,56.78,0.0,0.0,1.08,98.92,1.08,632.75,0.0,,,24.0,
Algeria,Africa,Lower-middle,2013,38414176.0,512373332647.0,59.89,59.8,0.0,0.0,0.33,0.33,0.0,59.56,0.0,0.0,0.551,99.449,0.551,636.0,0.0,,,-46.8,
Algeria,Africa,Lower-middle,2014,39205035.0,531843509827.0,64.27,64.08,0.0,0.0,0.25,0.25,0.0,64.02,0.0,0.0,0.389,99.611,0.389,637.0,0.0,,,-24.2,
Algeria,Africa,Lower-middle,2015,40019528.0,551521739825.0,68.84,68.81,0.06,0.02,0.22,0.14,0.0,68.62,0.087,0.029,0.32,99.68,0.32,637.42,0.04,inf,inf,-12.0,
Algeria,Africa,Lower-middle,2016,40850719.0,569170418715.0,71.04,70.79,0.09,0.03,0.34,0.22,0.0,70.7,0.127,0.042,0.479,99.521,0.479,636.4,0.05,50.0,50.0,54.5,
Algeria,Africa,Lower-middle,2017,41689302.0,577138830559.0,76.07,75.73,0.57,0.01,0.64,0.06,0.0,75.43,0.749,0.013,0.841,99.159,0.841,634.15,0.26,533.3,-66.7,88.2,
Algeria,Africa,Lower-middle,2018,42505033.0,584064441740.0,76.75,76.66,0.69,0.01,0.82,0.12,0.0,75.93,0.899,0.013,1.068,98.932,1.068,632.7,0.32,21.1,0.0,28.1,
Algeria,Africa,Lower-middle,2019,43294551.0,589905104177.0,81.61,81.47,0.71,0.01,0.87,0.15,0.0,80.74,0.87,0.012,1.066,98.934,1.066,632.77,0.32,2.9,0.0,6.1,
Algeria,Africa,Lower-middle,2020,44042094.0,559819958223.0,79.37,79.31,0.82,0.01,0.88,0.05,0.0,78.49,1.033,0.013,1.109,98.891,1.109,632.61,0.37,15.5,0.0,1.1,27% renewables by 2030 plan
Algeria,Africa,Lower-middle,2021,44761099.0,578853830170.0,85.6,84.45,0.79,0.01,0.81,0.01,0.0,84.79,0.923,0.012,0.946,99.054,0.946,633.53,0.36,-3.7,0.0,-8.0,
Algeria,Africa,Lower-middle,2022,45477391.0,595820067103.0,91.47,88.9,0.83,0.01,0.86,0.02,0.0,90.61,0.907,0.011,0.94,99.06,0.94,633.65,0.38,5.1,0.0,6.2,
