city,iso_alpha3,latitude,longitude,continent,who_region,wb_income_group,year,data_days,temp_mean_c,temp_max_c,temp_min_c,temp_std_c,temp_range_mean_c,temp_seasonal_amp,temp_yoy_change,temp_5yr_mean,temp_anomaly,days_above_35c,days_above_40c,days_below_0c,days_below_minus10c,heat_stress_index,cold_stress_index,drought_stress_days,ideal_climate_days,precip_total_mm,precip_mean_mm,precip_max_day_mm,precip_std_mm,precip_yoy_change,days_heavy_rain,days_moderate_rain,days_dry,rh_mean_pct,rh_max_pct,dewpoint_mean_c,humidity_stress_days,wind_mean_ms,wind_max_ms,wind_std_ms,high_wind_days,wind_power_density,solar_total_mj,solar_mean_mj,solar_clear_mean_mj,solar_clearness_idx,solar_peak_days,solar_annual_kwh_m2,pressure_mean_kpa,pressure_std_kpa,climate_volatility,gdp_per_capita_usd,population,urban_pop_pct,energy_use_kg_oil_eq
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1990,365.0,27.695068493150686,41.97,15.12,5.518466183643882,6.069068493150685,15.455161290322575,,,,128.0,13.0,0.0,0.0,81.0,0.0,211.0,140.0,40.839999999999996,0.1118904109589041,15.03,0.9409806020592318,,0.0,2.0,340.0,62.131205479452056,83.22,19.033698630136985,3.0,3.8952876712328766,9.05,1.3259513428935512,0.0,36.2013,2085.3045999999995,5.7131632876712315,6.0345287671232875,,0.0,579.3,100.77536986301372,0.8017321136491297,0.181,26709.993440327,1898220.0,78.6857684415241,10740.8429217188
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1991,365.0,27.084273972602734,42.61,14.79,4.784604354158418,6.111589041095891,12.973571428571429,-0.6108,,,93.0,7.0,0.0,0.0,69.0,0.0,195.0,165.0,35.37,0.09690410958904108,5.01,0.47468845087610173,-5.47,0.0,1.0,330.0,62.21416438356165,79.53,18.51109589041096,0.0,3.864547945205479,9.84,1.5003567802899336,0.0,35.351,2002.8165,5.487168493150684,6.058025479452054,,0.0,556.38,100.80005479452056,0.7668929014302046,0.0809,25690.9686321448,2006626.0,78.5538626919677,11690.0970198374
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1992,366.0,26.680382513661204,40.9,13.39,5.848296964717935,5.884562841530054,15.906774193548383,-0.4039,27.1532,-0.4728,111.0,2.0,0.0,0.0,74.0,0.0,200.0,109.0,90.76,0.24797814207650273,24.63,1.6624167123643685,55.39,1.0,5.0,326.0,60.92581967213114,83.95,17.77191256830601,8.0,3.956475409836066,9.04,1.4985846777476308,0.0,37.9343,1968.0684999999999,5.377236338797814,5.917600546448088,,0.0,546.73,100.90065573770492,0.7789646142154757,0.3512,25648.2727760844,2114730.0,78.4413740139383,10562.8994380617
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1993,365.0,27.617424657534247,41.83,13.92,5.664056903151448,6.079452054794521,15.755161290322583,0.937,27.2693,0.3481,126.0,14.0,0.0,0.0,62.0,0.0,206.0,119.0,81.91000000000001,0.22441095890410961,51.46,2.915734502280947,-8.85,2.0,2.0,349.0,61.365506849315075,87.39,18.745835616438356,3.0,3.9157260273972603,11.22,1.4530562075553775,3.0,36.7742,2055.4705999999996,5.631426301369862,6.109196438356164,,0.0,571.01,100.86495890410959,0.7700284074672092,0.5771,25032.7822702907,2222093.0,78.3519240018627,10572.6698308454
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1994,365.0,27.643479452054798,41.56,15.38,5.228599838077777,5.971863013698631,14.736198156682025,0.0261,27.3441,0.2994,116.0,3.0,0.0,0.0,82.0,0.0,203.0,142.0,9.920000000000002,0.027178082191780827,1.03,0.11157456266897678,-71.99,0.0,0.0,339.0,60.67224657534247,78.54,18.598301369863012,0.0,4.020520547945205,10.1,1.5061458354807356,1.0,39.8064,2035.2888,5.576133698630137,6.056027397260274,,0.0,565.4,100.80112328767125,0.8340373134655898,0.0204,25472.6396578979,2328188.0,78.2891342501676,11178.3984813089
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1995,365.0,27.521068493150683,42.36,16.42,5.413031153870104,5.862767123287671,15.21935483870968,-0.1224,27.3093,0.2118,116.0,9.0,0.0,0.0,64.0,0.0,197.0,132.0,168.31000000000006,0.46112328767123306,37.03,3.3276946609832443,158.39,3.0,6.0,326.0,62.03580821917808,85.53,18.85402739726027,5.0,4.006164383561644,9.75,1.3825947398504197,0.0,39.3815,2029.002,5.558909589041096,6.04565397260274,,0.0,563.66,100.82227397260276,0.8005242317456246,0.6316,27003.2006807782,2434662.0,78.2578079598212,11360.9014709113
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1996,366.0,28.039918032786886,42.24,14.94,5.913318215860709,6.171284153005464,16.155806451612904,0.5188,27.5005,0.5394,146.0,34.0,0.0,0.0,49.0,0.0,196.0,131.0,137.49,0.37565573770491806,31.92,2.558586078191403,-30.82,2.0,5.0,329.0,60.020027322404374,88.01,18.717978142076504,9.0,3.9178142076502733,9.44,1.416958397283846,0.0,36.833,2031.7781,5.551306284153005,6.010219125683061,,0.0,564.43,100.77226775956282,0.7590672317752669,0.521,28323.1650870532,2597564.0,78.2689693716933,11250.1691193254
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1997,365.0,27.368712328767128,40.5,14.82,5.673670124179491,5.586767123287671,14.251150537634405,-0.6712,27.6381,-0.2694,140.0,3.0,0.0,0.0,85.0,0.0,171.0,132.0,196.98,0.5396712328767123,40.93,2.773720554740707,59.49,2.0,10.0,289.0,62.75613698630137,82.87,19.043479452054793,4.0,3.826575342465754,8.84,1.4645888099932236,0.0,34.3192,2014.4778000000001,5.519117260273973,6.045284383561644,,0.0,559.62,100.85153424657534,0.7671248963849502,0.5547,27982.7957040564,2817410.0,78.3820753836003,10941.7465226956
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1998,365.0,28.876493150684933,42.39,15.23,6.066226471397859,6.115123287671233,17.361612903225804,1.5078,27.8899,0.9866,161.0,39.0,0.0,0.0,36.0,0.0,215.0,108.0,97.42999999999999,0.26693150684931505,16.92,1.4961079206163532,-99.55,0.0,6.0,327.0,59.932986301369866,84.91,19.48432876712329,6.0,3.775890410958904,9.68,1.3406391328991354,0.0,32.9734,2145.8591,5.87906602739726,6.17491589041096,,0.0,596.12,100.77646575342467,0.769670867329833,0.3038,24889.4269192279,3040421.0,78.5955507596055,10375.285992572
Abu Dhabi,ARE,24.47,54.37,E.Mediterranean,EMR,High,1999,365.0,28.698136986301368,42.88,16.58,5.314128155973123,6.4402191780821925,15.005483870967744,-0.1784,28.1009,0.5972,153.0,34.0,0.0,0.0,55.0,0.0,222.0,132.0,25.830000000000002,0.07076712328767124,5.32,0.45189036768962076,-71.6,0.0,1.0,348.0,58.858000000000004,82.6,18.987260273972602,1.0,3.938246575342465,10.01,1.4049831622785784,1.0,37.4123,2226.4637000000002,6.099900547945206,6.273558082191781,,0.0,618.51,100.70216438356167,0.7693039349518369,0.0809,25855.8605046587,3266009.0,78.9002662187301,9839.14403490257
